feature,importance_mean,importance_std
f54,0.012036989839961775,0.005007046421181578
f53,0.008439732288444902,0.004498680537402351
f58,0.007872453892872722,0.003975002061417458
f25,0.006954778320209298,0.0023879536047588783
f04,0.006397530064384815,0.0026154789158279387
f08,0.006083526399821193,0.00172831511811367
f10,0.0038498197589368786,0.001672259241957651
f07,0.0033729770496152556,0.0011946013599647128
f40,0.00311844169994977,0.0010637735631486291
f43,0.0029471619911417115,0.002417491308217805
f47,0.0029092886219301618,0.0022446794789623306
f57,0.0020205524688669207,0.0029450608646164438
f50,0.0017265542742920248,0.0022262032474619936
f36,0.0015634411819999583,0.002103689034471514
f16,0.0015271572884860696,0.0029055446307062207
f41,0.0012347485696090343,0.002059198602516056
f48,0.0011129618454580824,0.0009595079345982972
f32,0.0010391334397734653,0.0008702716662469493
f33,0.0010246089204665187,0.0011991333254728336
f55,0.0009792814583275745,0.0013352479916281677
f27,0.0008342555032856191,0.0013570195617005367
f38,0.0008103037488058851,0.003573089313734891
f13,0.0007204161576233714,0.0020218445201332608
f60,0.0006081662876590066,0.0008464817638585649
f30,0.0005039734151969011,0.001192541730239471
f28,0.0004993146071172294,0.00044677625808782907
f15,0.000411345348673442,0.0022442924257650375
f52,0.0003060014765681851,0.0020053119931647597
f51,0.0002691694879860318,0.0012281064618590003
f12,0.0002482322563813977,0.0016953142579370101
f19,0.0001909015122491642,0.0013799222198103175
f26,2.998080022984517e-05,0.0014359371822544997
f45,-4.329951038584135e-06,0.0007269461443729714
f42,-6.631950325044488e-05,0.0008790535056645058
f34,-0.00011932029634396102,0.0008464648567137578
f21,-0.00022488340647657256,0.0011013060879859256
f03,-0.00025069868418809983,0.0006495984133495524
f24,-0.00029701271744984046,0.0007685908315606097
f56,-0.00032452708987269486,0.0007439384511139434
f17,-0.0003603725073320962,0.0008014361087942919
f44,-0.0005602079691926276,0.0012478492273874603
f05,-0.0006500407508682971,0.0008337714522750418
f59,-0.0006557409395774094,0.0010150277086754583
f18,-0.0007002462591141345,0.0008645006299781036
f02,-0.0009083031469974357,0.001154932794861494
f35,-0.0010970670884805633,0.000601277761637588
f20,-0.0012125507193473163,0.001968609298365597
f31,-0.0013626739585234527,0.0014744050083333295
f37,-0.0013745128119962314,0.0014060509333861145
f14,-0.0014876944435765703,0.001814194481957314
f29,-0.0015257322413086527,0.002005304225697387
f22,-0.0017008486155940528,0.0007990097983746177
f11,-0.0017423942217625222,0.0032352957337659573
f09,-0.001957137869477621,0.0012233964024883405
f06,-0.001999670046768842,0.0011867087099292541
f39,-0.0023969841616968022,0.0015134265440774504
f46,-0.002480733088115561,0.0016455949535086425
f23,-0.0025813085331276354,0.0008072213354233768
f49,-0.0030581512424492584,0.0006961239657126386
f01,-0.003301286214696453,0.00031491229392481107
